ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.qry.name,dns.qry.type,target
1500.0,2082.0,1.0,1.0,0.0,20.0,13.0,23.0,61960000.0,255.0,1.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
829.0,809.0,0.0,0.0,1.0,0.0,6.0,1.0,29651730.0,12.0,0.0
607.0,587.0,0.0,0.0,1.0,0.0,6.0,1.0,22911972.0,1.0,0.0
830.0,810.0,0.0,0.0,1.0,0.0,6.0,1.0,39308290.0,12.0,0.0
155.0,135.0,0.0,0.0,0.0,0.0,1.0,0.0,93510540.0,12.0,0.0
1318.0,1298.0,1.0,1.0,0.0,15.0,13.0,23.0,61960000.0,255.0,1.0
394.0,374.0,0.0,0.0,1.0,0.0,4.0,3.0,48812384.0,28.0,0.0
56.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,61960000.0,255.0,1.0
800.0,780.0,0.0,0.0,1.0,0.0,6.0,1.0,12944794.0,12.0,0.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
825.0,805.0,0.0,0.0,1.0,0.0,6.0,1.0,10576169.0,12.0,0.0
896.0,876.0,1.0,1.0,0.0,13.0,13.0,23.0,61960000.0,255.0,1.0
788.0,768.0,0.0,0.0,1.0,0.0,6.0,1.0,77722536.0,12.0,0.0
430.0,410.0,0.0,0.0,1.0,0.0,8.0,1.0,75625720.0,6.0,0.0
1054.0,1034.0,1.0,1.0,0.0,14.0,13.0,23.0,61960000.0,255.0,1.0
818.0,798.0,0.0,0.0,1.0,0.0,6.0,1.0,49591144.0,12.0,0.0
368.0,348.0,0.0,0.0,1.0,0.0,4.0,1.0,56884584.0,12.0,0.0
366.0,346.0,0.0,0.0,1.0,0.0,4.0,1.0,78836740.0,12.0,0.0
56.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,61960000.0,255.0,1.0
