ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.qry.name,dns.qry.type,target
896.0,876.0,0.0,1.0,1.0,13.0,13.0,23.0,61960000.0,255.0,1.0
1500.0,2139.0,0.0,1.0,1.0,21.0,13.0,23.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,13.0,13.0,23.0,61960000.0,255.0,1.0
436.0,416.0,0.0,1.0,1.0,13.0,13.0,1.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,61960000.0,255.0,1.0
122.0,102.0,1.0,0.0,0.0,0.0,1.0,1.0,64432160.0,16.0,0.0
164.0,144.0,1.0,0.0,0.0,3.0,0.0,3.0,22383980.0,2.0,0.0
56.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,61960000.0,255.0,1.0
896.0,876.0,0.0,1.0,1.0,13.0,13.0,23.0,61960000.0,255.0,1.0
328.0,308.0,1.0,0.0,0.0,3.0,4.0,7.0,23447496.0,15.0,0.0
214.0,194.0,0.0,1.0,1.0,1.0,0.0,1.0,61960000.0,255.0,1.0
232.0,212.0,1.0,0.0,0.0,1.0,2.0,5.0,24019434.0,1.0,0.0
230.0,210.0,1.0,0.0,0.0,3.0,0.0,5.0,17111288.0,2.0,0.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,61960000.0,255.0,1.0
1054.0,1034.0,0.0,1.0,1.0,14.0,13.0,23.0,61960000.0,255.0,1.0
186.0,166.0,1.0,0.0,0.0,1.0,3.0,3.0,56927468.0,1.0,0.0
164.0,144.0,0.0,0.0,0.0,0.0,3.0,3.0,74490780.0,28.0,0.0
202.0,182.0,1.0,0.0,0.0,1.0,2.0,4.0,59430784.0,28.0,0.0
195.0,175.0,1.0,0.0,0.0,1.0,3.0,3.0,15423145.0,1.0,0.0
524.0,504.0,0.0,1.0,1.0,13.0,13.0,5.0,61960000.0,255.0,1.0
172.0,152.0,1.0,0.0,0.0,1.0,3.0,2.0,50553280.0,1.0,0.0
164.0,144.0,0.0,0.0,0.0,0.0,3.0,3.0,22383980.0,2.0,0.0
389.0,369.0,1.0,0.0,0.0,2.0,0.0,1.0,82923940.0,1.0,0.0
130.0,110.0,1.0,0.0,0.0,0.0,1.0,1.0,40486988.0,28.0,0.0
169.0,149.0,1.0,0.0,0.0,1.0,2.0,3.0,66841264.0,28.0,0.0
